🌀  CYCLONE
➃  DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
➄  DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
➅  DINGBAT CIRCLED SANS-SERIF DIGIT SIX
➆  DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
➇  DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
➈  DINGBAT CIRCLED SANS-SERIF DIGIT NINE
➉  DINGBAT CIRCLED SANS-SERIF NUMBER TEN
➊  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
➋  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
➌  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
➍  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
➎  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
➏  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
➐  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
➑  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
➒  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
➓  DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
➔  HEAVY WIDE-HEADED RIGHTWARDS ARROW
➕  HEAVY PLUS SIGN
➖  HEAVY MINUS SIGN
➗  HEAVY DIVISION SIGN
➘  HEAVY SOUTH EAST ARROW
➙  HEAVY RIGHTWARDS ARROW
➚  HEAVY NORTH EAST ARROW
➛  DRAFTING POINT RIGHTWARDS ARROW
➜  HEAVY ROUND-TIPPED RIGHTWARDS ARROW
➝  TRIANGLE-HEADED RIGHTWARDS ARROW
➞  HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
➟  DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➠  HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➡  BLACK RIGHTWARDS ARROW
➢  THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
➣  THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
➤  BLACK RIGHTWARDS ARROWHEAD
➥  HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
➦  HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
➧  SQUAT BLACK RIGHTWARDS ARROW
➨  HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
➩  RIGHT-SHADED WHITE RIGHTWARDS ARROW
➪  LEFT-SHADED WHITE RIGHTWARDS ARROW
➫  BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➬  FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➭  HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➮  HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➯  NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➰  CURLY LOOP
➱  NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➲  CIRCLED HEAVY WHITE RIGHTWARDS ARROW
➳  WHITE-FEATHERED RIGHTWARDS ARROW
➴  BLACK-FEATHERED SOUTH EAST ARROW
➵  BLACK-FEATHERED RIGHTWARDS ARROW
➶  BLACK-FEATHERED NORTH EAST ARROW
➷  HEAVY BLACK-FEATHERED SOUTH EAST ARROW
➸  HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
➹  HEAVY BLACK-FEATHERED NORTH EAST ARROW
➺  TEARDROP-BARBED RIGHTWARDS ARROW
➻  HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
➼  WEDGE-TAILED RIGHTWARDS ARROW
➽  HEAVY WEDGE-TAILED RIGHTWARDS ARROW
➾  OPEN-OUTLINED RIGHTWARDS ARROW
➿  DOUBLE CURLY LOOP
︀  VARIATION SELECTOR-1
︁  VARIATION SELECTOR-2
︂  VARIATION SELECTOR-3
︃  VARIATION SELECTOR-4
︄  VARIATION SELECTOR-5
︅  VARIATION SELECTOR-6
︆  VARIATION SELECTOR-7
︇  VARIATION SELECTOR-8
︈  VARIATION SELECTOR-9
︉  VARIATION SELECTOR-10
︊  VARIATION SELECTOR-11
︋  VARIATION SELECTOR-12
︌  VARIATION SELECTOR-13
︍  VARIATION SELECTOR-14
︎  VARIATION SELECTOR-15
️  VARIATION SELECTOR-16
🇦  REGIONAL INDICATOR SYMBOL LETTER A
🇧  REGIONAL INDICATOR SYMBOL LETTER B
🇨  REGIONAL INDICATOR SYMBOL LETTER C
🇩  REGIONAL INDICATOR SYMBOL LETTER D
🇪  REGIONAL INDICATOR SYMBOL LETTER E
🇫  REGIONAL INDICATOR SYMBOL LETTER F
🇬  REGIONAL INDICATOR SYMBOL LETTER G
🇭  REGIONAL INDICATOR SYMBOL LETTER H
🇮  REGIONAL INDICATOR SYMBOL LETTER I
🇯  REGIONAL INDICATOR SYMBOL LETTER J
🇰  REGIONAL INDICATOR SYMBOL LETTER K
🇱  REGIONAL INDICATOR SYMBOL LETTER L
🇲  REGIONAL INDICATOR SYMBOL LETTER M
🇳  REGIONAL INDICATOR SYMBOL LETTER N
🇴  REGIONAL INDICATOR SYMBOL LETTER O
🇵  REGIONAL INDICATOR SYMBOL LETTER P
🇶  REGIONAL INDICATOR SYMBOL LETTER Q
🇷  REGIONAL INDICATOR SYMBOL LETTER R
🇸  REGIONAL INDICATOR SYMBOL LETTER S
🇹  REGIONAL INDICATOR SYMBOL LETTER T
🇺  REGIONAL INDICATOR SYMBOL LETTER U
🇻  REGIONAL INDICATOR SYMBOL LETTER V
🇼  REGIONAL INDICATOR SYMBOL LETTER W
🇽  REGIONAL INDICATOR SYMBOL LETTER X
🇾  REGIONAL INDICATOR SYMBOL LETTER Y
🇿  REGIONAL INDICATOR SYMBOL LETTER Z
